U15;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
890001;Head of State;Raul Brandao;1933;1964;1999;LWR;Insignificant Layman;High;M9004;X
890002;Head of Government;Jaime Cortesão;1933;1964;1999;LWR;Smiling Oilman;High;M9012;X
890003;Minister of Security;Raul Proenca;1933;1964;1999;LWR;Back Stabber;Low;M9015;X
890004;Chief of Staff;Raul Brandao;1933;1964;1999;LWR;School of Defence;Medium;M9004;X
890005;Chief of Army;Humberto Carmona;1933;1964;1999;LWR;Static Defence Doctrine;Low;M9018;X
890006;Chief of Navy;Jose Sarmento Pimentel;1933;1964;1999;LWR;Base Control Doctrine;High;M9019;X
890007;Chief of Air Force;J.M.Sarmento Beires;1933;1964;1999;LWR;Naval Aviation Doctrine;High;M9020;X
890008;Head of State;Bento Gonçalves;1933;1964;1999;ST;Weary Stiffneck;High;M9031;X
890009;Head of Government;Bento Gonçalves;1933;1964;1999;ST;Happy Amateur;High;M9031;X
890010;Foreign Minister;H. Barrilao Ruas;1933;1964;1999;LE;Ideological Crusader;Very Low;M9033;X
890011;Minister of Security;Álvaro Cunhal;1933;1964;1999;ST;Man of the People;High;M9035;X
890012;Head of Military Intelligence;Antonio Sergo;1933;1964;1999;LE;Industrial Specialist;Medium;M9036;X
890013;Chief of Staff;Jose A.P. Rebelo;1933;1964;1999;ST;School of Psychology;Very High;M9037;X
890014;Chief of Army;Jose A.P. Rebelo;1933;1964;1999;LE;Guns and Butter Doctrine;Very High;M9037;X
890015;Chief of Navy;Bento Gonçalves;1933;1964;1999;ST;Power Projection Doctrine;Very High;M9031;X
890016;Chief of Air Force;Antonio Sergo;1933;1964;1999;LE;Carpet Bombing Doctrine;Medium;M9036;X
890017;Foreign Minister;Rui Ulrich;1933;1964;1999;LWR;Great Compromiser;Medium;M9023;X
890018;Foreign Minister;Francisco Cunha Leal;1933;1964;1999;LWR;The Cloak N Dagger Schemer;Low;M9013;X
890019;Minister of Armament;Jaime Cortesão;1933;1964;1999;LWR;Tank Proponent;Very Low;M9012;X
890020;Minister of Armament;F.Salgado Zenha;1933;1964;1999;ST;Military Entrepreneur;Low;M9034;X
890021;Chief of Army;J.M. Norton Matos;1933;1964;1999;LWR;Static Defence Doctrine;Very Low;M9072;X
890022;Chief of Air Force;Humberto Delgado;1933;1964;1999;LWR;Air Superiority Doctrine;Medium;M9079;X
